Upfront_charges,Interest_rate_spread,credit_type,rate_of_interest,dtir1
59.86,-0.1061,0,3.99,44.0
2596.45,1.1415,0,4.875,48.0
5390.0,1.2042,0,3.99,42.0
6432.5,0.6952,2,3.99,40.0
2125.0,1.0133,2,3.99,49.0
2596.45,0.322,2,4.75,36.0
0.0,1.3401,3,5.25,45.0
9595.0,-0.232,3,3.375,36.0
2619.0,1.376,2,4.99,49.0
7304.19,0.3181,3,3.5,16.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
2596.45,0.4416556604868295,1,3.99,37.73293242017198
250.0,0.8757,2,4.75,31.0
0.0,0.1416,2,3.25,37.73293242017198
16868.7,0.5209,3,3.99,44.0
1195.07,-0.0472,0,3.69,27.0
1740.8,0.416,0,4.375,40.0
2596.45,0.4416556604868295,0,3.99,59.0
0.0,-0.2057,0,3.49,25.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
2596.45,0.4416556604868295,2,3.99,44.0
15700.0,0.5602,3,3.99,53.0
5490.0,0.2621,3,3.99,36.0
4550.0,0.3374,2,3.99,38.0
2503.25,0.2864,2,3.625,25.0
0.0,0.2279,2,4.5,27.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
2596.45,0.0353,2,3.625,36.0
3907.69,0.9274,2,4.875,48.0
2376.67,0.8448,3,4.25,45.0
2166.74,1.6061,0,4.875,46.0
2061.28,1.7141,0,4.625,46.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
1208.0,1.1142,3,4.49,49.0
2596.45,0.4416556604868295,2,3.99,45.0
3625.0,0.0961,3,3.875,49.0
2389.32,0.1483,2,3.125,21.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
2381.08,-0.9331,3,2.75,37.73293242017198
2596.45,0.4416556604868295,0,3.99,5.0
66.66,-0.0663,2,3.75,31.0
2528.79,0.8663,3,4.875,43.0
2383.18,0.4605,0,4.125,34.0
3875.0,0.8936,0,4.375,44.0
2596.45,0.4416556604868295,0,3.99,48.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
2596.45,0.4416556604868295,2,3.99,18.0
2162.6,-0.341,2,3.25,36.0
2773.98,0.5328,3,4.75,41.0
0.0,1.2395,2,3.75,37.73293242017198
5579.78,0.4073,0,4.75,40.0
295.0,0.2243,3,3.75,34.0
7160.0,0.0748,2,3.625,31.0
6600.0,-0.0777,3,3.99,42.0
2596.45,0.4416556604868295,2,3.99,48.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
